input	output
can you tell @CN@ that i will leave in 10 minutes?	hello @CN@, @SCN@ @CN@ leave in 10 minutes.
tell @CN@ that jack will not come home today as he will be staying in chris house	hi @CN@ , @SCN@ says that jack will not come home today as they will be staying in chris house
ask @CN@ ,do you still intend to leave your job	hey @CN@ , @SCN@ wants to know if you are still intending to leave your job
ask @CN@ how to earn money through online	hey @CN@ , @SCN@ is questioning how to earn money through online
ask @CN@ , how to edit the clippings	hi @CN@ , @SCN@ is asking how to edit the clippings
ask @CN@ where did you like best?	hello @CN@, @SCN@ wants to know where did you like best.
ask @CN@ about his short term goal	hi @CN@ , @SCN@ wants to know about your short term goal
ask @CN@ ,which color do you choose?	hey @CN@ , @SCN@ would like to know which color do you choose?
can you ask @CN@ , who are your best friends?	hi @CN@ , @SCN@ likes to know who are your best friends?
ask @CN@ how to repair the breakdown car?	hey @CN@ , @SCN@ is asking how to repair the breakdown car?
ask @CN@ to stop throwing the waste in the terrace	hi @CN@ , @SCN@ is expecting you to stop throwing the waste in the terrace
can you tell @CN@ that the construction plan is done	hi @CN@ , @SCN@ notifies that the construction plan is done
ask @CN@ whats the best shooting spot in india for green background	@SCN@ want's to know the best shooting spot in india for green background
tell @CN@, live project shadowing will be provided for the students	hi @CN@, @SCN@ says live project shadowing will be provided for the students
ask @CN@ about the series he watched last night	hey @CN@ , @SCN@ wants to know about series you watched last night
ask @CN@ to hold on my hands forever	hey @CN@ , @SCN@ is asking you to hold on their hands forever
could you ask @CN@ about her opinion on the marvel movies?	hi @CN@, @SCN@ has asked about your opinion on the marvel movies.
ask @CN@ , can you play pingpong	hey @CN@ , @SCN@ is requesting you to play pingpong
please ask @CN@ about his work flow	hi @CN@ , @SCN@ requests to know about your work flow
ask @CN@ could you sing	hey @CN@ @SCN@ is wondering could you sing
can you ask @CN@ how to send courier	hi @CN@, @SCN@ wants to know how to send courier.
ask @CN@ if they want to marry me.	hi @CN@, @SCN@ wants to know if you want to marry them?
tell @CN@ that the meeting is scheduled for four o'clock.	hi @CN@, @SCN@ schedule the meeting for four o'clock.
can you ask @CN@ if she needs help	hi @CN@ , @SCN@ would like to know if you need help
ask @CN@ if you cut yourself really bad	hi @CN@ @SCN@ wants to know if you cut yourself really bad
ask @CN@ about her wedding	hi @CN@ , @SCN@ asks about your wedding
ask @CN@ for the weekly report	hi @CN@ , @SCN@ would like to get your weekly report
ask @CN@ , how to assemble the parts of a fan	hi @CN@ , @SCN@ would like to know how to assemble the parts of a fan
can you tell @CN@ , do you go for college tomorrow?	hey @CN@ , @SCN@ would like to know do you go for college tomorrow?
can you tell @CN@ there are no more rooms left.	@SCN@ wants you to know there are no more rooms left.
ask @CN@ did you see him yesterday	hey @CN@ , @SCN@ questions did you see him yesterday
can you tell @CN@ that the link to the trouble ticket is missing	hey @CN@ , @SCN@ informs that the link to the trouble ticket is missing
ask @CN@ ,are the pencils yellow?	hey @CN@ , @SCN@ is wondering if the pencils are yellow?
can you ask @CN@ to remind me about lisa’s birthday.	hi @CN@, @SCN@ asks you to remind them about lisa’s birthday.
ask @CN@ to take my stuff to the car.	hi @CN@, @SCN@ wants you to take their stuff to the car.
ask @CN@ ,can your brother drive a car	hey @CN@ , @SCN@ wants to know if your brother can drive a car
ask @CN@ how to fill the application for bank	hey @CN@ , @SCN@ is awaiting to know how to fill the application for bank
ask @CN@ , can you kick the ball	hey @CN@ , @SCN@ would like to know if you can kick the ball
ask @CN@ to have coffee with me tomorrow afternoon.	@CN@, @SCN@ is inviting you to have coffee with him tomorrow afternoon.
tell @CN@ , people need food.	hey @CN@ , @SCN@ wants to tell you that people need food.
ask @CN@ , do you have enough money	hi @CN@ , @SCN@ enquired if you have enough money.
ask @CN@ , how to become a police officer	hey @CN@ , @SCN@ is wondering how to become a police officer
tell @CN@ that i like pizza	hi @CN@ , @SCN@ is notifying you that they like pizza
tell @CN@ that there is water scarcity	hi @CN@ , @SCN@ says that there is water scarcity
can you remind @CN@ to check the brakes of the motorcycle	hi @CN@, @SCN@ reminds you to check the brakes of the motorcycle
ask @CN@ how to make fried rice	hey @CN@ , @SCN@ would like to know how to make fried rice
ask @CN@ , do you think this is easy ?	hey @CN@ , @SCN@ wonders if you know this is easy
please ask @CN@ what he was up to	hi @CN@ , @SCN@ requests to know what you were up to
can you ask @CN@ about the picnic	hi @CN@ , @SCN@ asked about the picnic.
ask @CN@ ,can you paint for me	hey @CN@ , @SCN@ is wondering if you can paint for them
can you tell @CN@ that the case has been filed	hey @CN@ , @SCN@ would like you to know that the case has been filed
ask @CN@ , can you clean the bathroom	hey @CN@ , @SCN@ is wondering if you can clean the bathroom
can you ask @CN@ if her phone is working	hi @CN@ , @SCN@ asked if your phone is working.
can you tell @CN@ joe is a man of dream.	@SCN@ says joe is a man of dream.
there was a broken pipe so get extra towels for the mess	hey @CN@, @SCN@ would like you to get some extra towels to clean up the mess from the broken pipe.
can you ask @CN@ , why are you looking tired	hey @CN@ , @SCN@ would like to know why are you looking tired
can you ask @CN@ to make herself comfortable	hi @CN@ , @SCN@ is concerned you to make yourself comfortable
ask @CN@ ,do you share your things with others?	hey @CN@ , @SCN@ is asking whether you share your things with others?
ask @CN@ do you like travelling	hey @CN@ , @SCN@ wants to know whether you like travelling
ask @CN@ does it snow during the summer?	hey @CN@ @SCN@ is wondering does it snow during the summer
ask @CN@ do you eat vegetables every day?	@SCN@ asks do you eat vegetables every day?
tell @CN@ , i am sorry	hey @CN@ , @SCN@ would like to tell sorry to you
ask @CN@ to give me a kiss	hey @CN@ , @SCN@ is requesting you to give them a kiss
ask @CN@ about his career goals	hi @CN@ , @SCN@ asks about your career goals
ask @CN@ about the welfare check	hey @CN@ , @SCN@ would like to know about the welfare check
ask @CN@ about her trip	hi @CN@ , @SCN@ likes to know about your trip
ask @CN@ , is the kitten male or female	hey @CN@ , @SCN@ wants to know if the kitten is male or female
ask @CN@ to give me few suggestions on career growth	hey @CN@ , @SCN@ wants to know to give them few suggestions on career growth
ask @CN@ , how to stitch the clothes	hi @CN@ , @SCN@ is asking how to stitch the clothes
can you ask @CN@ if she could explain the topic	hi @CN@ , @SCN@ asked you to explain the topic.
tell @CN@ to get four a little early	hey @CN@, @SCN@ is telling you to get four a little early
ask @CN@ about her property owner	hey @CN@ , @SCN@ is asking about your property owner
ask @CN@ can you drive a car wearing a blindfold?	hey @CN@ @SCN@ would like to know can you drive a car wearing a blindfold
tell @CN@ to get ingredients for preparing cake	hey @CN@ , @SCN@ is telling you to get ingredients for preparing cake
tell @CN@ to get burger for dinner	hey @CN@ , @SCN@ asks you to get burger for dinner
can you ask @CN@ to look into machine language tutorials	hi @CN@ , @SCN@ is asking you to look into machine language tutorials
ask @CN@, do you have time to go to classes	hello @CN@, @SCN@ probes if you have time to go to classes
ask @CN@ where do we keep milk and butter	hi @CN@ @SCN@ is asking where do we keep milk and butter
tell @CN@ , using the cosmetics is dangerous	hey @CN@ , @SCN@ would like to tell you that using the cosmetics is dangerous
ask @CN@ when he does his exercise everyday	hey @CN@ , @SCN@ would like to know when you do your exercise everyday
tell @CN@ , the millers do not live in a flat.	hey @CN@ , @SCN@ says the millers do not live in a flat.
ask @CN@ how to download pictures	hi @CN@, @SCN@ wants to know how to download pictures.
ask @CN@ , did you go to the concert today?	hey @CN@ , @SCN@ is asking whether you are going to the concert today?
tell @CN@ hey i think that your artwork is fantastic great job	hi @CN@ , @SCN@ says hey @SCN@ thinks that your artwork is fantastic great job
tell @CN@ i am using the latest version of that software	hi @CN@ , @SCN@ wants to tell that they are using the latest version of that software
tell @CN@ to fix the problem among the team	hi @CN@ , @SCN@ would like you to fix the problem among the team
ask @CN@ about his summer tour	hi @CN@ , @SCN@ wants to know about your summer tour
can you ask @CN@ , where shall we go for weekends	hey @CN@ , @SCN@ wants to know where shall you guys can go for weekends
please invite @CN@ for the week end party	hey @CN@ , @SCN@ wants to invite you to the week end party
ask @CN@ whose keys they are	hey @CN@ , @SCN@ wants to know whose keys they are
can you ask @CN@ , how does she look like?	hi @CN@ , @SCN@ would like to know how do you looks like ?
ask @CN@ where i'm so short.	hi @CN@, @SCN@ asks why they are so short.
ask @CN@ ,did you joined the whatsapp group?	hey @CN@ , @SCN@ is asking whether you joined the whatsapp group?
ask @CN@ have you ever bought a miracle cleaner from a tv infomercial?	@SCN@ wants to know have you ever bought a miracle cleaner from a tv infomercial?
can you ask @CN@ to eat chocolates	hi @CN@ , @SCN@ is requesting you to eat chocolates
tell @CN@ that the internal assessment exam starts by next month	hi @CN@, @SCN@ says that the internal assessment exam starts by next month
can you remind @CN@ to clean the roof garden	hi @CN@, @SCN@ reminds you to clean the roof garden
ask @CN@ about washing the car	hi @CN@ , @SCN@ asked about washing the car.
can you ask @CN@ if there is any problem	hi @CN@ , @SCN@ would like to know if there is any problem.
can you ask @CN@ for more info about his recent property purchase?	@CN@, @SCN@ would like you to know more about your recent property purchase.
can you tell @CN@ to cook	hi @CN@ , @SCN@ wanted you to cook.
ask @CN@ how to sort the bugs in priority	hey @CN@ , @SCN@ is asking how to sort the bugs in priority
remind @CN@ to ensure all the doors are closed	hi @CN@, @SCN@ reminds you to ensure all the doors are closed
ask @CN@ ,are you going to phone alan?	hi @CN@ , @SCN@ is wondering if you have seen alan yesterday
ask @CN@ , do need my credit card	hey @CN@ , @SCN@ wants to know if you need my credit card
ask @CN@ do you usually get enough sleep?	@SCN@ asks do you usually get enough sleep?
ask @CN@ , has the party started?	hi @CN@ , @SCN@ would like to know if the party started
ask @CN@ , who wants to play	hey @CN@ , @SCN@ is asking who wants to play
can you tell @CN@ that the face id is not working	hey @CN@ , @SCN@ would like you to know that the face id is not working
ask @CN@ to help me do my assignment	hi @CN@ , @SCN@ is asking you to help them do their assignment
ask @CN@ where is his home	hey @CN@ , @SCN@ would like to know where your home is
tell @CN@ , laura is not making the beds.	hey @CN@ , @SCN@ informs you laura is not making the beds.
can you tell @CN@ that there is too much traffic.	hi @CN@, @SCN@ wants you to know that there is too much traffic.
can you remind @CN@ to contact the bike mechanic	hi @CN@, @SCN@ reminds you to contact the bike mechanic
tell @CN@ xrp is cheap right now	hi @CN@, @SCN@ says xrp is cheap right now
tell @CN@ , the babies smile made me happy	hey @CN@ , @SCN@ says the babies smile made them happy
could you ask @CN@ ,do you know to dive in?	hi @CN@ , @SCN@ wishes to know whether you know to dive in
ask @CN@ would you be in the salon this weekend	hi @CN@ , @SCN@ is asking if you would be in the salon this weekend
ask @CN@ , are you working today?	hey @CN@ , @SCN@ wants to know whether you are working today?
tell @CN@ to regulate the office timing today	hi @CN@, @SCN@ asks you to regulate the office timing today
ask @CN@ , can you help me	hey @CN@ , @SCN@ is requesting you to help them
ask @CN@ how to install anti virus in laptop	hey @CN@ , @SCN@ asks how to install anti virus in laptop
ask @CN@ how to protect from natural disaster	hey @CN@ , @SCN@ wants to know how to protect from natural disaster
please let @CN@ know that i'm gonna be a little late	hi @CN@ , @CN@ says @CN@ is gon na be a little late
can you ask @CN@ about the documentation methodology	@SCN@ wants to know about the documentation methodology
can you ask @CN@ about the concert?	hi @CN@, @SCN@ is asking you about the concert.
ask @CN@ what are all the ingredients need for cooking chicken	hey @CN@ , @SCN@ would like to know what are all the ingredients need for cooking chicken
